"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1787701392854982807","Tue May 07 04:30:00 +0000 2024","0","Arya Sinulingga stasiun televisi nasional bisa menyiarkan secara langsung Timnas Indonesia U-23 kontra Timnas Guinea U-23 #ThePhraseID #TimnasIndonesia #TimnasGuinea #Olimpiade2024 #Paris2024 https://t.co/lGN61P0pjW","1787701392854982807","","","in","","0","0","0","https://twitter.com/ThePhraseID/status/1787701392854982807","1385513704322600961","ThePhraseID"
"1787473359628083528","Mon May 06 13:23:53 +0000 2024","116","Timnas futsal putri Indonesia ada di ranking 14 pada ranking terbaru FIFA yang rilis pada hari ini. https://t.co/P9wkHjkqyD","1787473359628083528","https://pbs.twimg.com/media/GM5hZ0LbsAAwGDC.png","","in","Indonesia","3","6","37","https://twitter.com/womensfootie_id/status/1787473359628083528","1454368958","womensfootie_id"
"1787427033867559191","Mon May 06 10:19:48 +0000 2024","1","Hebat yak Timnas Korut bisa main di Bali... https://t.co/r6FfPKLMZZ","1787427033867559191","https://pbs.twimg.com/tweet_video_thumb/GM43Y38bEAALizX.jpg","","in","#RepublikHomPimPah","0","1","0","https://twitter.com/KicauSunyi/status/1787427033867559191","260575817","KicauSunyi"
"1787429577494827490","Mon May 06 10:29:54 +0000 2024","0","CloseTheDoor kalo bawa topik timnas gini mah gua tonton sampe abis. Nih dengerin pesan2 buat lu netizen yang suka meramaikan kolom komentar pemain. https://t.co/HvJqAQjroD","1787429577494827490","https://pbs.twimg.com/ext_tw_video_thumb/1787429338104975360/pu/img/MELuADYxuSeNPS-X.jpg","","in","London, England","0","0","0","https://twitter.com/GoonersPusat/status/1787429577494827490","1519129767043383298","GoonersPusat"
"1787979152215462318","Tue May 07 22:53:43 +0000 2024","0","Bursa Pasar Taruhan Timnas U23 Indonesia Versus Timnas U23 Guinea Ini Angka Perbandingannya...!!! https://t.co/h7p4eq2Bqf https://t.co/TIQELF9IRH","1787979152215462318","https://pbs.twimg.com/ext_tw_video_thumb/1787979124566540288/pu/img/fBkUbCBogvI38soz.jpg","","in","Jakarta","0","0","0","https://twitter.com/WawanKu08354672/status/1787979152215462318","1554457742236336130","WawanKu08354672"
"1787332246225223803","Mon May 06 04:03:09 +0000 2024","12","Sempat Digadang-gadang Jadi Bintang Timnas Indonesia Syamsir Alam Malah Melempem Kariernya Umbar Kisah di Uruguay Ternyata...: Kisah Syamsir Alam sempat digadang-gadang jadi bintang Timnas Indonesia namun kariernya sebagai atlet malah melempem ia https://t.co/4y4uDp09eq https://t.co/3KNLejmO4f","1787332246225223803","https://pbs.twimg.com/media/GM3hNPuaAAAzYAT.jpg","","in","Pulo Gadung, Indonesia","1","2","2","https://twitter.com/tvOneNews/status/1787332246225223803","55507370","tvOneNews"
"1787829436261544002","Tue May 07 14:15:40 +0000 2024","2","@timpenguinnas Tapi di poin C tertulisnya ... di wilayah Republik Indonesia Pan. Atau mungkin ada UU lain yang jadi alasan penolakan/WO buat timnas sepakbola (atau cabor lain) kalau semisal terpaksa lawan Israel? https://t.co/XgGmuhfymp","1787848778994851982","https://pbs.twimg.com/media/GM-2-qxbIAAiMXm.jpg","timpenguinnas","in","Tegal, Jawa Tengah","0","3","0","https://twitter.com/dehiburansi/status/1787848778994851982","1571185503013314561","dehiburansi"
"1787697646750364123","Tue May 07 04:15:07 +0000 2024","40","TNTE BOHAY NGEWSS SMBIL NOBAR TIMNAS DI OYOO https://t.co/Z5spXcH277 ️ https://t.co/w3CfsNIg83 ️ doods viral #viralindo #viralvideo #viral mufc doodstream","1787697646750364123","","","in","","0","0","3","https://twitter.com/doodterhot/status/1787697646750364123","1772281175203364864","doodterhot"
"1787391889534222400","Mon May 06 08:00:09 +0000 2024","19","Runyam... Ruwet... Begitulah gambaran BUMN dipimpin oleh cing @erickthohir... Tapi Erick Thohir lebih mengutamakan dompelng prestasi Timnas Indonesia ketimbang bersih-bersih perusahaan BUMN... Suram!!! @OniMeniq74 @Penyair_Berdiri @Penyuka_ombak @Anak__Ogi https://t.co/bUSpf3XPT2 https://t.co/hmMBCDxS6q","1787391889534222400","https://pbs.twimg.com/media/GM4Xc2Ba8AA6X4B.jpg","","in","Tangerang, Indonesia","0","0","19","https://twitter.com/elpanjullo/status/1787391889534222400","2958782773","elpanjullo"
"1787741253742002650","Tue May 07 07:08:24 +0000 2024","6","Indonesia akan menjalani laga penentu untuk mendapatkan tiket ke Olimpiade melawan wakil Afrika Guinea. Laga ini akan digelar di Clairefontaine Prancis Kamis Skuad asuhan Shin Tae-yong itu pun telah berada di Prancis dan tengah menjalani latihan. #Latihan #Timnas #Indonesia https://t.co/ei36lYsGZw","1787741253742002650","https://pbs.twimg.com/ext_tw_video_thumb/1787741185311956992/pu/img/wAjLI2MP2hnE43BE.jpg","","in","Jakarta, Indonesia","0","1","2","https://twitter.com/republikaonline/status/1787741253742002650","22126902","republikaonline"
