"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1786628472997134452","Sat May 04 05:26:36 +0000 2024","18","Catat jadwal timnas U17 Indonesia yang akan berlaga di AFC U17 Championship. Bisa disaksikan di iNews 🇮🇩 https://t.co/9BxPegKZIV","1786628472997134452","https://pbs.twimg.com/media/GMthIGoWwAA-3pg.jpg","","in","Indonesia","3","0","7","https://twitter.com/womensfootie_id/status/1786628472997134452","1454368958","womensfootie_id"
"1787379814653194354","Mon May 06 07:12:10 +0000 2024","0","Ini Alasan Maarten Paes Pilih Bela Timnas Indonesia https://t.co/8GHylwTHaS","1787379814653194354","","","in","","0","0","1","https://twitter.com/IDNTimesSport/status/1787379814653194354","1616278024907034625","IDNTimesSport"
"1787316354661724462","Mon May 06 03:00:00 +0000 2024","0","Timnas Indonesia U-23 tidak bisa mendapatkan dukungan suporternya untuk melawan Timnas Guinea U-23 #ThePhraseID #TimnasIndonesia #TimnasGuinea #PlayOffOlimpiade #Paris https://t.co/OU5KWGa5FN","1787316354661724462","","","in","","0","0","0","https://twitter.com/ThePhraseID/status/1787316354661724462","1385513704322600961","ThePhraseID"
"1787062985074311640","Sun May 05 10:13:12 +0000 2024","3","Pandit Senior Khawatirkan Hal Ini di Lini Belakang Timnas Indonesia Usai Elkan Baggot dan Alfeandra Dewangga Datang: Pengamat sepak bola Mohamad Kusnaeni mengkhawatirkan kerja sama di lini pertahanan Timnas Indonesia setelah kehadiran Elkan Baggot dan https://t.co/L5FGoRMAbb https://t.co/hvixHXHM6r","1787062985074311640","https://pbs.twimg.com/media/GMzsUKqaUAA-C48.jpg","","in","Pulo Gadung, Indonesia","0","3","0","https://twitter.com/tvOneNews/status/1787062985074311640","55507370","tvOneNews"
"1787360430878572758","Mon May 06 05:55:08 +0000 2024","2","Cara Menonton Live Streaming Laga Playoff Timnas U-23 Indonesia vs Guinea di FIFA Gratis https://t.co/V0rlegUX1M #beritajogja #jogja #jogjaistimewa https://t.co/m0HgNoE0Br","1787360430878572758","https://pbs.twimg.com/media/GM361zNaUAAhYoG.jpg","","in","Yogyakarta, Indonesia","0","1","0","https://twitter.com/Harian_Jogja/status/1787360430878572758","118371948","Harian_Jogja"
"1787267911587131493","Sun May 05 23:47:30 +0000 2024","0","Playoff Olimpiade: PSSI Berharap Baggott Gabung Timnas Indonesia U-23 https://t.co/fL5oyj24Xv","1787267911587131493","","","in","","0","0","0","https://twitter.com/suster_slot/status/1787267911587131493","1515525370870898695","suster_slot"
"1786636871453606361","Sat May 04 05:59:58 +0000 2024","0","Detail Lelang #betis4 Sabtu 4 Mei 2024 Timnas Indonesia home 1972 Dipakai laga persahabatan vs Santos FC made by template non aparel Crest bordir Size fit M 65 x 47 cm (-) 2 tiny hole Material kain lembut dan elastis yang pakai size M or L msh enak dipakai https://t.co/6648xyxLej","1786636871453606361","https://pbs.twimg.com/media/GMtorCoasAApHre.jpg","","in","attack city - Serangnesia ","0","1","0","https://twitter.com/Pagarbetisfs/status/1786636871453606361","1253395810923843585","Pagarbetisfs"
"1787281416457535605","Mon May 06 00:41:10 +0000 2024","0","Cek Jersey Timnas Indonesia 2023 Grade Ori Home Third dengan harga Rp126.560. Dapatkan di Shopee sekarang! https://t.co/BcA7lSa26I https://t.co/yydtmG5ORn","1787281416457535605","https://pbs.twimg.com/media/GM2y-LfbcAARrbD.jpg","","in","Pipir jalan","0","0","0","https://twitter.com/DrGhosthing/status/1787281416457535605","1248761865552842752","DrGhosthing"
"1786932342671786053","Sun May 05 01:34:04 +0000 2024","1","Kabar Tim Pemain Timnas Indonesia Abroad: JDT Berjaya Hingga Elkan Baggott Promosi: Beberapa pemain abroad seperti Marselino Ferdinan Pratama Arhan hingga Nathan Tjoe-A-On masih membela Timnas Indonesia U-23 di Play Off Olimpiade 2024 Paris. https://t.co/MTaxXrlE2J https://t.co/sUdXJMfD54","1786932342671786053","https://pbs.twimg.com/media/GMx1fyNa4AAvbUP.jpg","","in","Pulo Gadung, Indonesia","0","0","0","https://twitter.com/tvOneNews/status/1786932342671786053","55507370","tvOneNews"
"1787374561635586213","Mon May 06 06:51:17 +0000 2024","0","Begini Cara Nonton Timnas U-23 Indonesia vs Guinea di FIFA+ https://t.co/a1ONegJOWB #timnasindonesia #timnasu23 #guinea #FIFA #olimpiade2024","1787374561635586213","","","in","Kota Surabaya, Jawa Timur","0","0","1","https://twitter.com/ChrisTetty/status/1787374561635586213","370842411","ChrisTetty"
"1786626565067202731","Sat May 04 05:19:01 +0000 2024","3","Melawan Guniea di playoff Olimpiade 2024 Paris. Timnas Indonesia U23 berpeluang diperkuat back tangguh Elkan Baggott. Kehadiran Elkan Baggott demi memperkuat lini pertahanan Garuda Muda. Download #MetroTVXtend sekarang di Play Store dan App Store. #Guinea #ElkanBaggott https://t.co/dQeWNOQIEg","1786626565067202731","https://pbs.twimg.com/amplify_video_thumb/1786626034617720832/img/BWIsp4icJZTrNUU5.jpg","","in","","0","2","0","https://twitter.com/Metro_TV/status/1786626565067202731","57261519","Metro_TV"
"1787370452765323739","Mon May 06 08:33:57 +0000 2024","1","@tanyarlfes Timnas Indonesia makin gacor! https://t.co/UTJpx9u0Lu","1787400397851963763","","tanyarlfes","in","","0","0","5","https://twitter.com/sisiPolitik62/status/1787400397851963763","1661985667688337409","sisiPolitik62"
"1787398036785901760","Mon May 06 08:24:34 +0000 2024","0","Timnas U-23 Indonesia Menandai Lahirnya Generasi Emas Sepak Bola https://t.co/xQoguw2wgk #beritajogja #jogja #jogjaistimewa https://t.co/6LZKvDWEFJ","1787398036785901760","https://pbs.twimg.com/media/GM4dCv-a4AA4Eo7.jpg","","in","Yogyakarta, Indonesia","0","0","0","https://twitter.com/Harian_Jogja/status/1787398036785901760","118371948","Harian_Jogja"
